City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Nanortalik,83,GL,1587272870,92,60.14,-45.24,27.84,7.05
Gladstone,72,AU,1587272871,65,-23.85,151.25,80.6,11.41
Namtsy,0,RU,1587272872,29,62.72,129.67,23.0,11.18
Dibulla,23,CO,1587272873,69,11.27,-73.31,78.87,7.81
Cuauhtémoc,0,MX,1587272875,35,28.42,-106.87,51.01,1.99
Williamsburg,1,US,1587272876,81,37.27,-76.71,44.6,2.3
Roald,7,NO,1587272877,100,62.58,6.13,36.0,2.24
Petrokamenskoye,58,RU,1587272878,56,57.72,60.65,44.22,10.36
Lillooet,40,CA,1587272880,62,50.69,-121.94,55.4,3.36
Ust-Tsilma,100,RU,1587272881,95,65.44,52.15,35.24,4.18
Bodden Town,0,KY,1587272882,79,19.28,-81.25,80.01,1.99
Mitsamiouli,100,KM,1587272602,75,-11.38,43.28,83.37,18.7
Vendas Novas,40,PT,1587272884,82,38.68,-8.46,57.2,5.82
Trincomalee,19,LK,1587272886,62,8.57,81.23,89.31,8.32
Hamilton,1,US,1587272828,80,39.18,-84.53,45.0,9.17
Aswān,0,EG,1587272888,42,24.09,32.91,66.2,3.36
Dhandhuka,63,IN,1587272890,17,22.37,71.98,101.5,15.17
Liverpool,68,GB,1587272658,93,53.41,-2.98,45.0,10.29
Lima,28,PE,1587272637,83,-12.04,-77.03,69.8,6.93
Saint Anthony,1,US,1587272893,43,45.02,-93.22,50.0,11.41
Sinnamary,92,GF,1587272895,85,5.38,-52.95,79.18,9.86
São Borja,0,BR,1587272896,76,-28.66,-56.0,58.44,7.78
Muroto-misakicho,75,JP,1587272626,52,33.28,134.15,64.4,9.17
Takoradze,88,GH,1587272898,82,4.88,-1.76,80.1,7.23
Dormidontovka,85,RU,1587272900,28,47.77,134.91,65.05,13.33
Fairbanks,90,US,1587272901,87,64.84,-147.72,46.4,2.24
Kandi,14,BJ,1587272902,56,11.13,2.94,82.53,7.09
Naro Moru,100,KE,1587272903,48,-0.17,37.02,62.74,3.38
Yining,60,CN,1587272905,47,29.04,114.56,73.49,5.01
Coyhaique,20,CL,1587272906,81,-45.58,-72.07,44.6,11.41
Jardim,28,BR,1587272829,72,-21.48,-56.14,63.09,4.25
Bathsheba,40,BB,1587272908,74,13.22,-59.52,80.6,18.34
Cabildo,68,AR,1587272910,64,-38.48,-61.9,61.0,5.99
Morristown,20,US,1587272911,93,36.21,-83.29,44.01,2.33
Manta,75,EC,1587272912,83,-0.95,-80.73,77.0,4.7
Middelburg,11,ZA,1587272913,50,-25.78,29.46,58.37,5.44
Ixtapa,40,MX,1587272914,83,20.7,-105.2,73.4,6.93
San Juan,0,AR,1587272916,38,-31.54,-68.54,70.23,6.62
Bonthe,100,SL,1587272917,80,7.53,-12.51,78.51,4.12
Tres Arroyos,81,AR,1587272919,51,-38.37,-60.28,64.71,18.16
Kieta,43,PG,1587272921,72,-6.22,155.63,83.95,3.89
Cayenne,90,GF,1587272922,88,4.93,-52.33,78.8,6.31
Oliveira dos Brejinhos,91,BR,1587272923,79,-12.32,-42.9,68.14,3.2
Brenham,90,US,1587272924,100,30.17,-96.4,69.8,5.82
Ninohe,90,JP,1587272927,93,40.27,141.31,46.4,17.22
Tilichiki,29,RU,1587272928,92,60.47,166.1,12.81,11.39
Manuk Mangkaw,67,PH,1587272929,68,4.8,119.85,85.01,4.14
Şahbuz,40,AZ,1587272932,66,39.41,45.57,55.4,4.7
Kendari,39,ID,1587272933,63,-3.94,122.5,87.71,3.13
Baruun-Urt,95,MN,1587272934,38,46.68,113.28,41.34,17.83
Yangi Marg`ilon,2,UZ,1587272935,34,40.43,71.72,68.0,4.7
Linjiang,100,CN,1587272937,38,41.81,126.91,59.85,5.97
Sistranda,20,NO,1587272938,93,63.73,8.83,41.0,3.36
Chumikan,100,RU,1587272939,95,54.72,135.31,22.17,18.25
Yamada,100,JP,1587272940,87,39.47,141.95,45.68,16.55
Havøysund,93,NO,1587272941,93,71.0,24.66,37.4,20.8
Jashpurnagar,52,IN,1587272943,12,22.9,84.15,98.4,5.82
Turbat,52,PK,1587272944,23,26.0,63.04,89.71,12.28
Cockburn Town,25,TC,1587272945,81,21.46,-71.14,78.12,13.47
Katsuura,0,JP,1587272946,43,35.13,140.3,70.0,13.0
Kiryat Gat,4,IL,1587272948,21,31.61,34.76,64.0,5.01
Les Cayes,13,HT,1587272949,77,18.2,-73.75,78.73,4.52
San Policarpo,20,PH,1587272948,74,12.18,125.51,83.41,11.23
Eureka,80,US,1587272951,78,40.8,-124.16,53.01,1.03
Hambantota,12,LK,1587272952,71,6.12,81.12,86.76,11.45
Denpasar,20,ID,1587272875,84,-8.65,115.22,87.8,9.17
Médéa,75,DZ,1587272955,93,36.26,2.75,64.4,11.41
Zhigansk,45,RU,1587272956,92,66.77,123.37,16.84,11.18
Puerto Nariño,40,CO,1587272958,100,-3.77,-70.38,77.0,1.63
Amapá,96,BR,1587272960,95,1.0,-52.0,73.26,1.25
Evensk,100,RU,1587272961,90,61.95,159.23,22.73,9.26
Vestmanna,0,FO,1587272962,87,62.16,-7.17,42.8,11.41
Poya,18,NC,1587272963,73,-21.35,165.15,78.94,9.89
Porto Santo,40,PT,1587272965,77,33.07,-16.34,60.8,11.41
Yar-Sale,100,RU,1587272911,98,66.83,70.83,35.29,17.74
Karatau,0,KZ,1587272967,24,43.17,70.47,67.89,10.65
Tezu,99,IN,1587272970,54,27.92,96.17,76.41,2.28
Libertador General San Martín,4,AR,1587272971,52,-23.81,-64.79,64.22,1.28
Nemuro,40,JP,1587272972,37,43.32,145.57,51.8,12.75
Manzanares,99,ES,1587272973,94,39.0,-3.37,55.99,2.77
Auki,78,SB,1587272975,72,-8.77,160.7,83.03,1.48
Shirokiy,100,RU,1587272976,24,49.76,129.52,66.06,17.85
Despotovac,100,RS,1587272978,54,44.09,21.45,61.43,2.59
Mollendo,41,PE,1587272980,78,-17.02,-72.01,67.3,6.33
Hanmer Springs,23,NZ,1587272981,53,-42.52,172.82,48.7,10.94
Solnechnyy,100,RU,1587272982,41,50.72,136.63,51.64,7.81
Zabaykal'sk,57,RU,1587272984,38,49.63,117.32,42.51,16.26
Tankhoy,87,RU,1587272985,69,51.55,105.13,32.34,15.75
Inhambane,40,MZ,1587272987,73,-23.86,35.38,73.4,4.7
Ashland,1,US,1587272988,77,40.82,-82.27,42.01,12.75
São Félix do Xingu,100,BR,1587272990,91,-6.64,-51.99,71.46,2.73
São Miguel do Araguaia,91,BR,1587272991,89,-13.28,-50.16,68.65,3.38
Stilfontein,5,ZA,1587272992,35,-26.84,26.77,63.63,7.02
Otane,100,NZ,1587272994,66,-39.88,176.63,60.01,8.99
Raudeberg,4,NO,1587272996,67,61.99,5.14,39.99,5.82
Borūjerd,20,IR,1587272997,71,33.9,48.75,55.4,4.76
Adrar,12,MR,1587272998,25,20.5,-10.07,69.62,17.22
Taber,76,CA,1587272999,56,49.82,-112.15,36.05,4.25
Rāwah,2,IQ,1587273001,28,34.48,41.91,77.34,3.11
Verkh-Usugli,56,RU,1587273002,53,52.7,115.17,30.58,9.86
Antofagasta,20,CL,1587272755,82,-23.65,-70.4,60.8,2.24
Ulaanbaatar,75,MN,1587272986,86,47.91,106.88,26.6,26.84
Cerrito,95,CO,1587273006,46,6.84,-72.69,49.75,1.54
Dalvik,90,IS,1587273007,93,65.97,-18.53,35.6,6.93
São Paulo de Olivença,93,BR,1587273008,96,-3.38,-68.87,71.62,1.77
Boussé,1,BF,1587273009,52,12.66,-1.89,89.6,8.05
Sungai Penuh,27,ID,1587273011,56,-2.08,101.38,78.87,0.36
Carahue,91,CL,1587273012,100,-38.7,-73.17,50.0,1.12
Caucayá,79,CO,1587273013,90,-0.19,-74.78,67.96,2.77
Terrasini,90,IT,1587273015,89,38.15,13.08,60.01,4.81
Robertsonpet,40,IN,1587273017,58,12.97,78.28,86.0,4.7
Muros,0,ES,1587273018,94,42.78,-9.06,48.99,3.42
Beipiao,100,CN,1587273020,32,41.79,120.78,62.87,17.36
Stromness,0,GB,1587272731,86,58.97,-3.3,42.01,5.82
Lata,12,PT,1587273022,97,40.16,-8.33,55.0,2.8
Rockport,90,US,1587273023,88,28.02,-97.05,73.4,5.82
Coro,29,VE,1587273024,80,11.4,-69.67,76.96,13.94
Khorramshahr,87,IR,1587273026,64,30.44,48.17,69.8,9.17
Makkah al Mukarramah,100,SA,1587273028,37,21.43,39.83,84.45,4.07
Sobolevo,100,RU,1587273029,72,54.43,31.9,37.08,10.09
Ekhabi,98,RU,1587273030,93,53.51,142.97,27.18,14.81
Melbu,100,NO,1587273032,89,68.5,14.83,41.0,4.16
Pascagoula,40,US,1587273033,94,30.37,-88.56,69.8,4.03
Voh,18,NC,1587273034,73,-20.97,164.7,80.02,9.75
Vestmannaeyjar,100,IS,1587273035,93,63.44,-20.27,45.91,19.35
Karoi,14,ZW,1587273037,50,-16.81,29.69,65.53,7.96
Kobryn,16,BY,1587273038,74,52.21,24.36,30.2,4.47
Bereket,0,TM,1587273039,26,39.24,55.52,78.98,8.34
Mumford,47,GH,1587273042,84,5.26,-0.76,79.72,9.31
Neiafu,75,TO,1587273043,78,-18.65,-173.98,82.4,10.29
Kalya,40,IN,1587273044,58,12.98,77.18,91.0,4.7
Ambon City,40,ID,1587273045,70,-3.7,128.18,89.6,10.29
Jonava,19,LT,1587273047,77,55.08,24.28,33.01,5.82
Chicama,50,PE,1587273048,74,-7.84,-79.15,72.75,5.61
Dingle,14,PH,1587273049,45,11.0,122.67,91.69,14.76
Fortuna,90,US,1587273050,93,40.6,-124.16,52.0,4.7
Viedma,63,AR,1587273051,52,-40.81,-63.0,68.85,9.44
Galesong,20,ID,1587273053,79,-5.32,119.37,87.8,8.05
Toora-Khem,0,RU,1587273054,28,52.47,96.11,51.76,3.71
Were Īlu,100,ET,1587273056,37,10.6,39.43,56.26,2.62
Tanout,4,NE,1587272884,14,14.97,8.89,78.28,7.94
San Cristobal,45,VE,1587273060,60,7.77,-72.22,65.93,0.89
Belaya Gora,23,RU,1587273061,91,68.53,146.42,10.67,9.13
Hargeisa,98,SO,1587273062,49,9.56,44.06,73.56,7.27
Yinzhu,75,CN,1587273064,81,35.88,119.98,53.6,4.47
